room _desc,bldg
H3D,DPT
H3E,DPT
H3F,DPT
H3J,DPT
TEC 110,GET
TEC 115,GET
TEC 120,GET
TEC 125,GET
BE 220,BE
BE 221,BE
BE 222,BE
BE 223,BE
